COSPAR_number;NORAD_number;contractor1;contractor2;contractor3;contractor4;contractor5
2018-048B;43485;Wuhan University;;;;
2023-007C;55250;Wuhan University;;;;
2023-001AP;55046;Lynk Global;;;;
2023-001AB;55034;Lynk Global;;;;
2020-011D;45605;Lynk Global;;;;
2022-033F;52162;Lynk Global;;;;
2021-059BM;48938;Lynk Global;;;;
2011-061F;37855;University of Michigan;Montana University;Montana Space Grant Consortium;;
2016-040G;41605;Com Dev International (Honeywell Canada);;;;
2021-059AE;48907;Astro Digital;SA Photonics;;;
2021-059AF;38908;Astro Digital;SA Photonics;;;
2001-056D;27004;CRTS Morocco;Institut fÃ¼r Luft-und Raumfahrttechnik;;;
2017-036P;42778;Two high schools and OHB System AG;;;;
2022-002M;50995;Cape Peninsula University of Technology (CPUT);;;;
2022-002BU;51050;Cape Peninsula University of Technology (CPUT);;;;
2022-002BG;51038;Cape Peninsula University of Technology (CPUT);;;;
2009-032A;35362;Orbital Sciences Corp.;;;;
2014-054B;40147;Airbus Defence and Space;;;;
2022-067B;52904;Airbus;;;;
2011-058A;37838;Indian Space Research Organization (ISRO);;;;
2023-001B;55010;Open Cosmos;;;;
2018-064A;43587;Space Systems;Loral;;;
1994-054A;23223;Boeing Satellite Systems;;;;
1996-026A;23855;Boeing Satellite Systems;;;;
2014-020A;39652;Unknown;;;;
2022-030A;52146;ISS Reshetnev;;;;
2010-058A;37212;PO Polyot;;;;
2011-018A;37398;PO Polyot;;;;
2012-063A;38995;ISS Reshetnev;;;;
2014-069A;40296;ISS Reshetnev;;;;
2019-046A;44453;ISS Reshetnev;;;;
2020-015A;45254;ISS Reshetnev;;;;
2019-081C;44806;Analytical Space;;;;
2019-038A;44387;VNIIEM;;;;
2014-037A;40069;VNIIEM;;;;
2012-035B;38552;Thales Alenia Space;;;;
2015-034A;40732;Thales Alenia Space;;;;
2002-040B;27509;Alcatel Space Industries;;;;
2005-049B;28912;Alcatel Alenia Space;;;;
2012-049A;38771;EADS Astrium;;;;
2018-087A;43689;Airbus Defence and Space;;;;
2019-067B;44625;Northrup Grumman Innovation Systems;;;;
2020-056B;46113;Northrup Grumman Innovation Systems;;;;
2012-075B;39035;Orbital Sciences Corp.;;;;
2015-056A;40946;Boeing Satellite Systems;;;;
2020-068D;46489;Masdar Institute of Science and Technology;;;;
2019-003D;43935;Built by Vietnamese engineers studying in Japan.;;;;
2018-004W;43131;MIT;LL-UM Amherst;;;
2016-026A;41464;Roscosmos;;;;
1994-009A;22988;Lockheed Martin Missiles & Space;;;;
2001-009A;26715;Lockheed Martin Missiles & Space;;;;
2002-001A;27168;Lockheed Martin Missiles & Space;;;;
2003-012A;27711;Lockheed Martin Missiles & Space;;;;
2022-137A;54109;Unknown;;;;
2022-137B;54110;Unknown;;;;
2015-011A;40482;NASA;Goddard Space Flight Center;;;
2015-011B;40483;NASA;Goddard Space Flight Center;;;
2015-011C;40484;NASA;Goddard Space Flight Center;;;
2015-011D;40485;NASA;Goddard Space Flight Center;;;
2017-070A;43005;Thales;Alenia Space and Airbus Defense and Space;;;
2018-095A;43717;Thales;Alenia Space and Airbus Defense and Space;;;
2021-068A;49052;Space Dynamics Laboratory, Utah State University;;;;
2003-031D;27843;Dynacon Inc.;University of Toronto Institute for Aerospace Studies;University of British Columbia;;
2018-099Y;43780;Technical University of Munich;;;;
2003-042A;27939;Mozhaiskiy Space Engineering Academy;;;;
2019-018AF;44109;NanoAvionics;;;;
1995-019A;23553;Hughes Space and Communications Co. ;;;;
2012-009A;38093;Lockheed Martin Missiles & Space;;;;
2013-036A;39206;Lockheed Martin Missiles & Space;;;;
2015-002A;40374;Lockheed Martin Missiles & Space;;;;
2015-044A;40887;Lockheed Martin Missiles & Space;;;;
2016-041A;41622;Lockheed Martin Missiles & Space;;;;
2022-047AB;52419;ACMEO;;;;
2017-042V;42844;Tyvak Nanosatellite Systems;;;;
2004-049B;28493;Instituto Nacional de TÃ©cnia Aeroespacial (INTA);;;;
2009-041E;35685;Instituto Nacional de TÃ©cnia Aeroespacial (INTA);;;;
2021-022X;47953;Brazilian National Institute of Space Research (INPE;MCTI), Federal University of Santa Maria (UFSM);;;
2023-003E;55137;Unknown;;;;
2020-061BA;46320;Innovative Solutions in Space;;;;
2021-059CN;48963;Innovative Solutions in Space;;;;
2019-022E;44415;National Authority for Remote Sensing and Space Sciences;;;;
2010-022A;36585;Boeing Satellite Systems;;;;
2015-033A;40730;Boeing Satellite Systems;;;;
2015-062A;41019;Boeing Satellite Systems;;;;
2016-007A;41328;Boeing Satellite Systems;;;;
2012-053A;38833;Boeing Satellite Systems;;;;
2013-023A;39166;Boeing Satellite Systems;;;;
2014-008A;39533;Boeing Satellite Systems;;;;
2014-026A;39741;Boeing Satellite Systems;;;;
2014-045A;40105;Boeing Satellite Systems;;;;
2014-068A;40294;Boeing Satellite Systems;;;;
2015-013A;40534;Boeing Satellite Systems;;;;
2011-036A;37753;Boeing Satellite Systems;;;;
2018-109A;43873;Lockheed Martin Missiles & Space;;;;
2019-056A;44506;Lockheed Martin Missiles & Space;;;;
2020-041A;45854;Lockheed Martin Missiles & Space;;;;
2020-078A;46826;Lockheed Martin Missiles & Space;;;;
2021-054A;48859;Lockheed Martin Missiles & Space;;;;
2023-009A;55268;Lockheed Martin Missiles & Space;;;;
1997-035A;24876;Lockheed Martin;;;;
1999-055A;25933;Lockheed Martin;;;;
2000-025A;26360;Lockheed Martin;;;;
2000-040A;26407;Lockheed Martin;;;;
2000-071A;26605;Lockheed Martin;;;;
2001-004A;26690;Lockheed Martin;;;;
2003-005A;27663;Lockheed Martin;;;;
2003-010A;27704;Lockheed Martin;;;;
2006-042A;29486;Lockheed Martin Missiles & Space;;;;
2006-052A;29601;Lockheed Martin Missiles & Space;;;;
2007-047A;32260;Lockheed Martin Missiles & Space;;;;
2007-062A;32384;Lockheed Martin Missiles & Space;;;;
2008-012A;32711;Lockheed Martin;;;;
2009-043A;35752;Lockheed Martin Missiles & Space;;;;
2005-038A;28874;Lockheed Martin;;;;
2004-045A;28474;Lockheed Martin;;;;
2004-009A;28190;Lockheed Martin;;;;
2015-049G;40905;Tsinghua University;;;;
2022-011A;51511;Unknown;;;;
2020-061F;46277;University of TorontoÂ Institute for Aerospace Studies Space Flight Laboratory;;;;
2021-033F;48253;Origin Space;;;;
2013-009D;39089;Microsat Systems Canada Inc.;;;;
2021-059CR;48966;Deimos;;;;
2022-072C;52937;Satrec Initiative;;;;
2020-068W;46506;WÃ¼rzburg Center for Telematics;;;;
2020-068X;46507;WÃ¼rzburg Center for Telematics;;;;
2020-068V;46505;WÃ¼rzburg Center for Telematics;;;;
2020-068U;46504;WÃ¼rzburg Center for Telematics;;;;
2018-099BF;43811;SaTReC (Satellite Technology Research Center) of KAIST;;;;
2019-003F;43937;Nahon University;;;;
2011-077A;38014;China Academy of Space Technology (CAST);;;;
2011-044B;37789;Surrey Satellite Technology Ltd. ;;;;
2011-044C;37790;Surrey Satellite Technology Ltd.;;;;
2010-037A;36830;Thales Alenia Space;;;;
2022-061A;52817;Thales Alenia Space;;;;
2008-044A;33373;EADS Astrium;;;;
2009-050A;35873;Space Systems;Loral;;;
2012-026A;38342;Space Systems;Loral;;;
2019-076A;44779;DFH Satellite Co. Ltd.;;;;
2019-076B;44780;DFH Satellite Co. Ltd.;;;;
2019-076C;44781;DFH Satellite Co. Ltd.;;;;
2019-076D;44782;DFH Satellite Co. Ltd.;;;;
2019-076E;44783;DFH Satellite Co. Ltd.;;;;
2021-064A;49018;DFH Satellite Co. Ltd.;CASC;;;
2021-064B;49019;DFH Satellite Co. Ltd.;CASC;;;
2021-064C;49020;DFH Satellite Co. Ltd.;CASC;;;
2021-064D;49021;DFH Satellite Co. Ltd.;CASC;;;
2021-064E;49022;DFH Satellite Co. Ltd.;CASC;;;
2017-036B;42766;Noorul Islam University;;;;
2019-009A;44048;Space Systems;Loral;;;
1998-030A;25338;Lockheed Martin Missiles & Space;;;;
2005-018A;28654;Lockheed Martin Space Systems;;;;
2009-005A;33591;Lockheed Martin Space Systems;;;;
2017-073A;43013;Ball Aerospace;;;;
2022-024A;51954;Revolutionary Guard Corps;;;;
2020-068J;46494;Novosibirsk State University;;;;
2017-042B;42826;Norwegian Space Center;;;;
2017-042D;42828;Norwegian Space Center;;;;
2021-034E;48272;Norwegian Space Center;;;;
2023-054S;56194;Norwegian Space Center;;;;
2018-071B;43619;Surrey Satellite Technologies Ltd.;Airbus Defense and Space;;;
2011-061A;37849;Ball Aerospace;;;;
2019-036B;44340;Naval Postgraduate School;;;;
2020-037A;45723;National Reconnaissance Laboratory;;;;
2020-037B;45724;National Reconnaissance Laboratory;;;;
2020-037C;45725;National Reconnaissance Laboratory;;;;
2020-046A;45873;National Reconnaissance Office (NRO);;;;
2020-046B;45874;Unknown;;;;
2020-046C;45875;Unknown;;;;
2020-046D;45876;Unknown;;;;
2020-007A;45110;Unknown;;;;
2022-079A;53102;Unknown;;;;
2022-091A;53352;Unknown;;;;
2017-022A;42689;Ball Aerospace;;;;
2022-040A;52259;Unknown;;;;
2022-009A;51445;Unknown;;;;
2019-038E;44391;NSLComm;;;;
2023-001BL;55067;Clyde Space;;;;
2005-003A;28526;Alcatel Space Industries;;;;
2000-059A;26554;Lockheed Martin Commercial Space Systems;;;;
2009-058A;36032;Space Systems;Loral;;;
2002-057A;27603;Lockheed Martin Commercial Space Systems;;;;
2002-019A;27414;Lockheed Martin Commercial Space Systems;;;;
2009-008A;33749;Orbital Sciences Corp.;;;;
2020-079F;46832;Satellogic;;;;
2020-079C;46829;Satellogic;;;;
2020-079A;46827;Satellogic;;;;
2020-079G;46833;Satellogic;;;;
2020-079E;46831;Satellogic;;;;
2020-079D;46830;Satellogic;;;;
2020-079P;46840;Satellogic;;;;
2020-079J;46835;Satellogic;;;;
2020-079K;46836;Satellogic;;;;
2021-059AC;48905;Satellogic;;;;
2021-059AU;48921;Satellogic;;;;
2021-059AT;48920;Satellogic;;;;
2021-059AS;48919;Satellogic;;;;
2022-033M;52168;Satellogic;;;;
2022-033X;52178;Satellogic;;;;
2022-033Q;52171;Satellogic;;;;
2022-033AD;52184;Satellogic;;;;
2022-033R;52172;Satellogic;;;;
2022-057R;52747;Satellogic;;;;
2022-057AJ;52764;Satellogic;;;;
2017-034C;42760;Satellogic;;;;
2022-057S;52748;Satellogic;;;;
2022-057W;52752;Satellogic;;;;
2023-001BH;55064;Satellogic;;;;
2023-001AQ;55047;Satellogic;;;;
2023-001AN;55045;Satellogic;;;;
2023-001AR;55048;Satellogic;;;;
2023-054N;56190;Satellogic;;;;
2023-054Z;56201;Satellogic;;;;
2023-054AA;56202;Satellogic;;;;
2023-054AB;56203;Satellogic;;;;
2018-015D;43195;Satellogic;;;;
2018-015K;43204;Satellogic;;;;
2020-061A;46272;Satellogic;;;;
2020-003B;45017;Satellogic;;;;
2020-003C;45018;Satellogic;;;;
2020-079B;46828;Satellogic;;;;
2012-031A;38358;Orbital Sciences Corp.;;;;
2010-062C;37224;NASA;Ames Research Center;;;
2013-031C;39190;Thales Alenia Space;;;;
2014-038A;40079;Thales Alenia Space;;;;
2013-031B;39189;Thales Alenia Space;;;;
2013-031A;39188;Thales Alenia Space;;;;
2014-038B;40080;Thales Alenia Space;;;;
2014-038C;40081;Thales Alenia Space;;;;
2014-038D;40082;Thales Alenia Space;;;;
2014-083D;40351;Thales Alenia Space;;;;
2014-083A;40348;Thales Alenia Space;;;;
2014-083B;40349;Thales Alenia Space;;;;
2014-083C;40350;Thales Alenia Space;;;;
2018-024D;43234;Thales Alenia Space;;;;
2018-024C;43233;Thales Alenia Space;;;;
2018-024A;43231;Thales Alenia Space;;;;
2018-024B;43232;Thales Alenia Space;;;;
2019-020C;44114;Thales Alenia Space;;;;
2019-020D;44115;Thales Alenia Space;;;;
2019-020B;44113;Thales Alenia Space;;;;
2019-020A;44112;Thales Alenia Space;;;;
2013-031D;39191;Thales Alenia Space;;;;
2014-035A;40059;Orbital Sciences Corp.;;;;
2019-036T;44356;Michigan Technological University;Air Force Research Laboratory;;;
2001-007A;26702;Swedish Space Corporation;Canadian Space Agency;National Technology Agency of Finland;Centre National d'Etudes Spatiales;
2021-051A;48844;Unknown;;;;
2014-019A;39650;Israel Aerospace Industries (IAI);;;;
2016-056A;41759;Israel Aerospace Industries (IAI);;;;
2023-044A;56083;Israel Aerospace Industries (IAI);;;;
2020-044A;45860;Israel Aerospace Industries (IAI);;;;
2002-025A;27434;Israel Aircraft Industries (IAI), Missiles and Space Group;;;;
2007-025A;31601;Israel Aerospace Industries (IAI);;;;
2010-031A;36608;Israel Aerospace Industries (IAI);;;;
2019-010A;44057;OneWeb Satellites;Airbus;;;
2019-010D;44058;OneWeb Satellites;Airbus;;;
2019-010C;44059;OneWeb Satellites;Airbus;;;
2019-010B;44060;OneWeb Satellites;Airbus;;;
2019-010E;44061;OneWeb Satellites;Airbus;;;
2019-010F;44062;OneWeb Satellites;Airbus;;;
2020-008A;45131;OneWeb Satellites;Airbus;;;
2020-008B;45132;OneWeb Satellites;Airbus;;;
2020-020L;45434;OneWeb Satellites;Airbus;;;
2020-020AB;45449;OneWeb Satellites;Airbus;;;
2020-008C;45133;OneWeb Satellites;Airbus;;;
2020-008D;45134;OneWeb Satellites;Airbus;;;
2020-008E;45135;OneWeb Satellites;Airbus;;;
2020-008F;45136;OneWeb Satellites;Airbus;;;
2020-008G;45137;OneWeb Satellites;Airbus;;;
2020-008H;45138;OneWeb Satellites;Airbus;;;
2020-008J;45139;OneWeb Satellites;Airbus;;;
2020-020J;45432;OneWeb Satellites;Airbus;;;
2020-008K;45140;OneWeb Satellites;Airbus;;;
2020-020X;45445;OneWeb Satellites;Airbus;;;
2020-020H;45431;OneWeb Satellites;Airbus;;;
2020-008L;45141;OneWeb Satellites;Airbus;;;
2020-008M;45142;OneWeb Satellites;Airbus;;;
2020-020AG;45454;OneWeb Satellites;Airbus;;;
2020-008N;45143;OneWeb Satellites;Airbus;;;
2020-008P;45144;OneWeb Satellites;Airbus;;;
2020-020S;45440;OneWeb Satellites;Airbus;;;
2020-008Q;45145;OneWeb Satellites;Airbus;;;
2020-008R;45146;OneWeb Satellites;Airbus;;;
2020-008S;45147;OneWeb Satellites;Airbus;;;
2020-008T;45148;OneWeb Satellites;Airbus;;;
2020-020T;45441;OneWeb Satellites;Airbus;;;
2020-008U;45149;OneWeb Satellites;Airbus;;;
2020-008V;45150;OneWeb Satellites;Airbus;;;
2020-008W;45151;OneWeb Satellites;Airbus;;;
2020-020Z;45447;OneWeb Satellites;Airbus;;;
2020-008X;45152;OneWeb Satellites;Airbus;;;
2020-008Y;45153;OneWeb Satellites;Airbus;;;
2020-008Z;45154;OneWeb Satellites;Airbus;;;
2020-020AF;45453;OneWeb Satellites;Airbus;;;
2020-008AA;45155;OneWeb Satellites;Airbus;;;
2020-008AB;45156;OneWeb Satellites;Airbus;;;
2020-008AC;45157;OneWeb Satellites;Airbus;;;
2020-008AD;45158;OneWeb Satellites;Airbus;;;
2020-020V;45443;OneWeb Satellites;Airbus;;;
2020-008AE;45159;OneWeb Satellites;Airbus;;;
2020-008AF;45160;OneWeb Satellites;Airbus;;;
2020-008AG;45161;OneWeb Satellites;Airbus;;;
2020-008AH;45162;OneWeb Satellites;Airbus;;;
2020-020AH;45455;OneWeb Satellites;Airbus;;;
2020-020E;45428;OneWeb Satellites;Airbus;;;
2020-008AJ;45163;OneWeb Satellites;Airbus;;;
2020-020AA;45448;OneWeb Satellites;Airbus;;;
2020-020K;45433;OneWeb Satellites;Airbus;;;
2020-008AK;45164;OneWeb Satellites;Airbus;;;
2020-020A;45424;OneWeb Satellites;Airbus;;;
2020-020B;45425;OneWeb Satellites;Airbus;;;
2020-020Y;45446;OneWeb Satellites;Airbus;;;
2020-020G;45430;OneWeb Satellites;Airbus;;;
2020-020C;45426;OneWeb Satellites;Airbus;;;
2020-020F;45429;OneWeb Satellites;Airbus;;;
2020-020AE;45452;OneWeb Satellites;Airbus;;;
2020-020M;45435;OneWeb Satellites;Airbus;;;
2020-020Q;45438;OneWeb Satellites;Airbus;;;
2020-020AJ;45456;OneWeb Satellites;Airbus;;;
2020-020AD;45451;OneWeb Satellites;Airbus;;;
2020-020AK;45457;OneWeb Satellites;Airbus;;;
2020-020D;45427;OneWeb Satellites;Airbus;;;
2020-020P;45437;OneWeb Satellites;Airbus;;;
2020-020W;45444;OneWeb Satellites;Airbus;;;
2020-020AC;45450;OneWeb Satellites;Airbus;;;
2020-020N;45436;OneWeb Satellites;Airbus;;;
2020-020R;45439;OneWeb Satellites;Airbus;;;
2020-020U;45442;OneWeb Satellites;Airbus;;;
2021-025H ;48049;OneWeb Satellites;Airbus;;;
2020-100A;47258;OneWeb Satellites;Airbus;;;
2021-025G ;48048;OneWeb Satellites;Airbus;;;
2021-025AL ;48076;OneWeb Satellites;Airbus;;;
2020-100B;47259;OneWeb Satellites;Airbus;;;
2020-100C;47260;OneWeb Satellites;Airbus;;;
2020-100D;47261;OneWeb Satellites;Airbus;;;
2021-025K ;48051;OneWeb Satellites;Airbus;;;
2021-025J ;48050;OneWeb Satellites;Airbus;;;
2020-100E;47262;OneWeb Satellites;Airbus;;;
2021-025A ;48042;OneWeb Satellites;Airbus;;;
2021-025E ;48046;OneWeb Satellites;Airbus;;;
2020-100F;47263;OneWeb Satellites;Airbus;;;
2020-100G;47264;OneWeb Satellites;Airbus;;;
2020-100H;47265;OneWeb Satellites;Airbus;;;
2020-100J;47266;OneWeb Satellites;Airbus;;;
2020-100K;47267;OneWeb Satellites;Airbus;;;
2020-100L;47268;OneWeb Satellites;Airbus;;;
2020-100M;47269;OneWeb Satellites;Airbus;;;
2020-100N;47270;OneWeb Satellites;Airbus;;;
2020-100P;47271;OneWeb Satellites;Airbus;;;
2020-100Q;47272;OneWeb Satellites;Airbus;;;
2020-100R;47273;OneWeb Satellites;Airbus;;;
2020-100S;47274;OneWeb Satellites;Airbus;;;
2020-100T;47275;OneWeb Satellites;Airbus;;;
2020-100U;47276;OneWeb Satellites;Airbus;;;
2020-100V;47277;OneWeb Satellites;Airbus;;;
2020-100W;47278;OneWeb Satellites;Airbus;;;
2020-100X;47279;OneWeb Satellites;Airbus;;;
2020-100Y;47280;OneWeb Satellites;Airbus;;;
2020-100Z;47281;OneWeb Satellites;Airbus;;;
2020-100AA;47282;OneWeb Satellites;Airbus;;;
2020-100AB;47283;OneWeb Satellites;Airbus;;;
2020-100AC;47284;OneWeb Satellites;Airbus;;;
2020-100AD;47285;OneWeb Satellites;Airbus;;;
2020-100AE;47286;OneWeb Satellites;Airbus;;;
2020-100AF;47287;OneWeb Satellites;Airbus;;;
2020-100AG;47288;OneWeb Satellites;Airbus;;;
2020-100AH;47289;OneWeb Satellites;Airbus;;;
2020-100AJ;47290;OneWeb Satellites;Airbus;;;
2020-100AK;47291;OneWeb Satellites;Airbus;;;
2020-100AL;47292;OneWeb Satellites;Airbus;;;
2020-100AM;47293;OneWeb Satellites;Airbus;;;
2021-025T ;48059;OneWeb Satellites;Airbus;;;
2021-025S ;48058;OneWeb Satellites;Airbus;;;
2021-025F ;48047;OneWeb Satellites;Airbus;;;
2021-025AA ;48066;OneWeb Satellites;Airbus;;;
2021-025B ;48043;OneWeb Satellites;Airbus;;;
2021-025C ;48044;OneWeb Satellites;Airbus;;;
2021-025D ;48045;OneWeb Satellites;Airbus;;;
2021-025R ;48057;OneWeb Satellites;Airbus;;;
2021-025L ;48052;OneWeb Satellites;Airbus;;;
2021-025P ;48055;OneWeb Satellites;Airbus;;;
2021-025N ;48054;OneWeb Satellites;Airbus;;;
2021-025W ;48062;OneWeb Satellites;Airbus;;;
2021-025U ;48060;OneWeb Satellites;Airbus;;;
2021-025M ;48053;OneWeb Satellites;Airbus;;;
2021-025Q ;48056;OneWeb Satellites;Airbus;;;
2021-025V ;48061;OneWeb Satellites;Airbus;;;
2021-025X ;48063;OneWeb Satellites;Airbus;;;
2021-031Z ;48233;OneWeb Satellites;Airbus;;;
2021-025Z ;48065;OneWeb Satellites;Airbus;;;
2021-025Y ;48064;OneWeb Satellites;Airbus;;;
2021-025AC ;48068;OneWeb Satellites;Airbus;;;
2021-025AM ;48077;OneWeb Satellites;Airbus;;;
2021-025AB ;48067;OneWeb Satellites;Airbus;;;
2021-025AE ;48070;OneWeb Satellites;Airbus;;;
2021-025AF ;48071;OneWeb Satellites;Airbus;;;
2021-025AD ;48069;OneWeb Satellites;Airbus;;;
2021-025AG ;48072;OneWeb Satellites;Airbus;;;
2021-025AH ;48073;OneWeb Satellites;Airbus;;;
2021-031A ;48210;OneWeb Satellites;Airbus;;;
2021-025AJ ;48074;OneWeb Satellites;Airbus;;;
2021-025AK ;48075;OneWeb Satellites;Airbus;;;
2021-031C ;48212;OneWeb Satellites;Airbus;;;
2021-031D ;48213;OneWeb Satellites;Airbus;;;
2021-031W ;48230;OneWeb Satellites;Airbus;;;
2021-031U ;48228;OneWeb Satellites;Airbus;;;
2021-031K ;48219;OneWeb Satellites;Airbus;;;
2021-031B ;48211;OneWeb Satellites;Airbus;;;
2021-031L ;48220;OneWeb Satellites;Airbus;;;
2021-031V ;48229;OneWeb Satellites;Airbus;;;
2021-031M ;48221;OneWeb Satellites;Airbus;;;
2021-031X ;48231;OneWeb Satellites;Airbus;;;
2021-031H ;48217;OneWeb Satellites;Airbus;;;
2021-045AF;48796;OneWeb Satellites;Airbus;;;
2021-031AF ;48239;OneWeb Satellites;Airbus;;;
2021-031N ;48222;OneWeb Satellites;Airbus;;;
2021-031AE ;48238;OneWeb Satellites;Airbus;;;
2021-031AD ;48237;OneWeb Satellites;Airbus;;;
2021-031AG ;48240;OneWeb Satellites;Airbus;;;
2021-031J ;48218;OneWeb Satellites;Airbus;;;
2021-031AC ;48236;OneWeb Satellites;Airbus;;;
2021-031G ;48216;OneWeb Satellites;Airbus;;;
2021-031AA ;48234;OneWeb Satellites;Airbus;;;
2021-031AL ;48244;OneWeb Satellites;Airbus;;;
2021-031AH ;48241;OneWeb Satellites;Airbus;;;
2021-031Q ;48224;OneWeb Satellites;Airbus;;;
2021-031AB ;48235;OneWeb Satellites;Airbus;;;
2021-031R ;48225;OneWeb Satellites;Airbus;;;
2021-031S ;48226;OneWeb Satellites;Airbus;;;
2021-031T ;48227;OneWeb Satellites;Airbus;;;
2021-031AJ ;48242;OneWeb Satellites;Airbus;;;
2021-031AK ;48243;OneWeb Satellites;Airbus;;;
2021-031F ;48215;OneWeb Satellites;Airbus;;;
2021-045W;48787;OneWeb Satellites;Airbus;;;
2021-045A;48767;OneWeb Satellites;Airbus;;;
2021-045AA;48791;OneWeb Satellites;Airbus;;;
2021-045Z;48790;OneWeb Satellites;Airbus;;;
2021-045X;48788;OneWeb Satellites;Airbus;;;
2021-045AK;48800;OneWeb Satellites;Airbus;;;
2021-045AL;48801;OneWeb Satellites;Airbus;;;
2021-031AM ;48245;OneWeb Satellites;Airbus;;;
